"Тип","Регіон","Компанія","Рік засн.","Продукт","Механізм","Точність","Бізнес-модель / ціни","Інвестиції (сума, інвестори)","Трекшен","Proof-URL"
"ПРЯМИЙ","Пн. Америка","Inertial Labs","2001","VINS (Vision-Aided Inertial Navigation…","Inertial Labs is fundamentally an INS/IMU/AHRS hardware company (since 2001), but its…","Demonstrated in…","Hardware sales/B2B/defense-contractor model…","$150M+ (acquisition consideration, not VC funding) | Інв.: None identified as VC/equity investors…","25+ years of operating history; multiple US government/defense contracts (US…","https://www.defenseadvancement.com/feature/inertial-labs-showcases-vision-aided-navigation-performance-in-gnss-denied-environments/"
"ПРЯМИЙ","Пн. Америка","Theseus","2024 (founded by…","Micro VPS (Visual Positioning System)","Theseus's Micro VPS is a hardware+software module (camera + IMU) that compares live onboard…","Marketing/target: ~5 m…","Hardware module + integration model: sells…","$4.3M seed (some aggregator sites report $4.8M total… | Інв.: First Round Capital (lead), Lux Capital, Y…","U.S. Special Operations Command (USSOCOM) / U.S. Special Forces in early-stage…","https://www.theseus.us/technology"
"ПРЯМИЙ","Пн. Америка","Skyline Nav AI","2020","Pathfinder (visual positioning system);…","Pathfinder is a software (and companion hardware, ""Pathfinder Edge"") visual positioning…","Reported figures vary by…","Plug-and-play software technology; hardware…","Disclosed institutional/VC funding appears… | Інв.: Capital Innovators (priced round);…","Customers/partners cited: U.S. Air Force, NASA, U.S. Army, BAE Systems,…","https://www.draper.com/media-center/news-releases/detail/23503/skyline-nav-ai-draper-win-contract-with-air-force-research-lab-to-add-visual-localization-to-atak"
"ПРЯМИЙ","Пн. Америка","Honeywell Aerospace","1885 (Honeywell…","Vision-Aided Navigation (VAN), part of the…","VAN uses a live camera feed (visible or LWIR/thermal imager) and performs real-time image…","No single public…","Not applicable in startup sense — Honeywell…","N/A — not a VC-funded startup; internally funded R&D… | Інв.: N/A (public company; no external/VC investors)","Flight-demonstrated on AW139 helicopter (low altitude, LWIR camera,…","https://www.gpsworld.com/honeywell-demos-alternative-nav-in-gps-denied-environments/"
"ПРЯМИЙ","Пн. Америка","OKSI","1991…","OMNInav (part of OKSI's ""OMNIscience"" AI/ML…","OMNInav is a visual navigation software/module for UAVs that performs absolute geolocation…","~5 m drift-free absolute…","Not publicly disclosed. OKSI is a privately…","~$2.25M disclosed (per public aggregator data),… | Інв.: U.S. Department of Energy, U.S. Department of…","OEM/partnership-led go-to-market: integrated into Nokturnal AI's ""Odyssey""…","https://oksi.ai/omninav-gps-denied-navigation/"
"СУМІЖНИЙ","Україна","The Fourth Law","2023 (founded by…","TFL-1 autonomy module (terminal guidance /…","TFL-1 does NOT match live camera imagery to a pre-loaded digital/satellite map to compute…","n/d (no meters-level…","n/d (no public pricing/SaaS model found;…","Undisclosed amount(s) -- multiple rounds, exact… | Інв.: Axon Enterprise, BRAVE1…","TFL-1 has NATO/Ukrainian military codification; deployed with 50+ Ukrainian…","https://techukraine.org/2025/07/22/the-ai-co-pilot-yaroslav-azhnyuks-the-fourth-law-unlocks-a-new-era-for-drones-with-tfl-1-module/"
"СУМІЖНИЙ","Україна","Sine.Engineering","2022 (April 2022,…","Pasika navigation module (part of the Pasika…","Sine.Engineering's GPS-denied navigation is built on a revived pre-GPS aviation technique:…","n/d (no specific…","Not publicly disclosed; sells hardware…","Disclosed total amount not public; known investors… | Інв.: US-Ukraine Reconstruction Investment Fund…","Grew from 0 to ~150-200 employees across Ukraine and Finland in about 3 years;…","https://thenextweb.com/news/ukrainian-drone-company-sine-replaces-gps"
"СУМІЖНИЙ","Україна","Buntar Aerospace","2023","Buntar-3 (eVTOL reconnaissance UAV) with…","Public sources (multiple independent outlets, consistent wording) describe Buntar-3's…","n/d (no meter-level…","B2B/B2G direct sales to military/defense…","~$12.6M total disclosed (per The Recursive/industry… | Інв.: Axon Enterprise (lead, strategic investor),…","Buntar-3 already deployed/in use by Ukraine's Special Operations Forces,…","https://thedefensepost.com/2025/06/03/ukrainian-buntar-drone-recon/"
"СУМІЖНИЙ","Україна","Swarmer","2023 (May 2023)","STYX (AI Command & Control), MINAS (Autonomy…","Swarmer is a swarm coordination / autonomy software platform, not a visual…","n/d (no stated accuracy…","B2B software licensing model: Swarmer…","~$17.7-20M raised pre-IPO, plus a ~$15M Nasdaq IPO in… | Інв.: Broadband Capital Investments (lead, Series A),…","First combat deployment April 2024; over 100,000 real-world combat missions in…","https://getswarmer.com/news/how-swarmer-cuts-through-the-noise-in-gnss-denied-environments/"
"СУМІЖНИЙ","Велика Британія","Opteran","2019…","Opteran Mind (formerly Opteran Development…","Opteran Mind is an edge-deployed, insect-brain-inspired (""Natural Intelligence"")…","n/d (no stated absolute…","Not publicly disclosed; business model is…","~$14.8M total disclosed (approx. £2.1M seed + $12M… | Інв.: Join Capital (lead, 2022), IQ Capital (lead…","Commercial release of Opteran Mind in Dec 2023; named to The Robot Report's…","https://opteran.com/opteran-mind"
"СУМІЖНИЙ","Велика Британія","Flare Bright","2015","SENS (Software Enhanced Navigation System)…","Two distinct products, neither matches the OSCAR/Flyby pattern exactly. (1) Core SENS…","SENS/INS dead reckoning:…","No public list pricing; sells as an…","~$613K (~£500,000 seed round) - small/early-stage… | Інв.: Highland Venture Capital, Oxford Technology…","Multiple UK government contracts (Dstl, UK MOD); reported as on its ""fourth…","https://www.calibredefence.co.uk/flarebright-unveils-tactera-strike-grade-gnss-free-navigation/"
"СУМІЖНИЙ","Велика Британія","Roke","1956 (as Plessey…","RENS (visual-inertial navigation system);…","Roke's flagship GPS-denied navigation product, RENS, is a visual-inertial odometry (VIO)…","RENS: sub-4% positional…","No public pricing; Roke operates as a UK…","Not VC-funded; n/a | Інв.: Parent company: Chemring Group PLC (LSE-listed,…","Roke has been awarded a UK government contract for eLoran-based resilient PNT…","https://www.roke.co.uk/products/rens/"
"СУМІЖНИЙ","Велика Британія","Blue Bear","2000 (as Blue Bear…","SmartConnect avionics (GNSS-denied flight…","Blue Bear does NOT have a publicly evidenced product that matches live camera imagery to a…","n/d (no specific…","Not publicly disclosed; Blue Bear operates…","Not separately disclosed as VC funding -- company was… | Інв.: Pre-acquisition backers/grant bodies: UK…","RISER fielded with nuclear decommissioning/radiation-survey customers…","https://defence-industry.eu/bluebear-announces-project-to-face-the-challenges-of-gnss-denied-environments/"
"СУМІЖНИЙ","Європа","Exail Technologies","2022 (Exail brand…","Advans Series / Ursa U5 (and broader…","Exail's GNSS-denied navigation solutions (Advans Series, Ursa U5, and the rapidly-deployable…","Drift-based, not fixed…","Not publicly disclosed (defense/industrial…","N/A - publicly listed company on Euronext Paris… | Інв.: Majority owner: Pelican Venture (Gorgé family…","Established defense/industrial supplier - INS/AHRS systems deployed on/with…","https://www.exail.com/product-range/advans-series-inertial-navigation-pointing-land-forces"
"СУМІЖНИЙ","Європа","Zero Industries","2025","Visual Positioning System (VPS) — computer…","Across every independent source (company site snippets, ISAE-SUPAERO incubator profile, press…","n/d (no accuracy figure…","tsiny nepublichni (model: described as…","~€200,000–€400,000 pre-seed (figures vary by source;… | Інв.: Project Europe (accelerator/fund); Heartfelt VC…","Technology reportedly demonstrated/tested in front of military stakeholders in…","https://www.zeroindustries.eu/"
"СУМІЖНИЙ","Європа","Lendurai","2023 (founded…","Lendurai onboard autonomy /…","Lendurai sells an onboard autonomy/navigation stack (edge-computed, on-drone hardware module)…","n/d (no specific…","Not publicly disclosed; sold as a…","~€5.57M / $6.37M (Seed, June 2025) plus an… | Інв.: Expeditions Fund (lead), HCVC, Vsquared Ventures","Field-tested in operationally relevant/conflict-adjacent environments per…","https://www.cvkeskus.ee/computer-vision-engineer-tallinnas-lendurai-ou-1020666"
"СУМІЖНИЙ","Європа","Safran Electronics & Defense","2005 (Safran Group…","Geonyx (and Sigma 95N, Blacknaute, NAVKITE)…","Safran E&D's flagship GPS-denied / ""Resilient PNT"" portfolio (Geonyx, Sigma 95N, Blacknaute,…","n/d for vision-based…","Not a startup product with public pricing;…","n/a - publicly listed division of Safran S.A.… | Інв.: N/A - public company (Euronext Paris: SAF), not…","Major established defense supplier: world No. 3 in inertial navigation systems…","https://safran-navigation-timing.com/solution/navwar/"
"СУМІЖНИЙ","Європа","GMV","1984","AIRSENSE (R&D project name; GMV — ""UAV…","No commercially sold ""module"" matching the OSCAR/Flyby pattern was identified. The only…","n/d (no public accuracy…","n/d — no commercial product/pricing…","Not applicable / n/d — privately owned conglomerate,… | Інв.: None identified (private,…","Limited public traction evidence for GNSS-denied navigation specifically: one…","https://www.gmv.com/en-es/communication/news/gmv-takes-part-eurognc-leading-european-conference-guidance-navigation-control"
"СУМІЖНИЙ","Пн. Америка","Auterion","2017","Skynode (S/N/X) mission computer +…","Auterion does NOT match live camera imagery to a pre-loaded digital/satellite map to compute…","n/d (no…","Not publicly disclosed; sells hardware…","~$140M total raised (as of Series B, Sept 2025) | Інв.: Bessemer Venture Partners (lead, Series B),…","Widely deployed in Ukraine (reports of tens of thousands of Skynode-equipped…","https://auterion-gs.com/enabling_uav_navigation_in_environments_with_limited_or_no_gps_signal/"
"СУМІЖНИЙ","Пн. Америка","Shield AI","2015","Hivemind (autonomy/AI-pilot software stack)…","Shield AI's GPS-denied capability is delivered via its ""Hivemind"" autonomy software (an…","n/d (no published…","Not a navigation-module product/price;…","~$2B+ cumulative equity raised (estimate, pre-Series… | Інв.: L3Harris, Hanwha Asset Management, Andreessen…","Major operator/customer base: U.S. military programs, U.S. Coast Guard ($198M…","https://www.unmannedsystemstechnology.com/2025/12/advancing-gnss-denied-navigation-in-suas-with-visual-inertial-odometry/"
"СУМІЖНИЙ","Пн. Америка","Skydio","2014","Skydio X10D / X10 — ""Visual Navigation""…","Skydio's core ""Visual Navigation"" is visual-inertial odometry (VIO): onboard…","n/d (no published…","Hardware + subscription model: enterprise…","~$825M-$966M total raised; latest valuation ~$4.4B… | Інв.: Andreessen Horowitz (a16z), Linse Capital,…","~60,000 ""flying robots"" shipped; ~4,000 enterprise customers including every…","https://support.skydio.com/hc/en-us/articles/37154269660955-Skydio-X10-Asimov-39-237-29-May-2025"
"СУМІЖНИЙ","Пн. Америка","ANELLO Photonics","2018 (founded by…","ANELLO GNSS/INS product family…","ANELLO's product (SiPhOG-based GNSS/INS) is an inertial navigation system: a chip-scale…","3.0 m cross-track error…","Hardware sales model (sensor/module sales:…","~$70-95M+ cumulative (equity + grants) across Series… | Інв.: Lockheed Martin Ventures, MESH (Series B-2…","U.S. Navy Phase I and U.S. Army Phase II SBIR awards; $20M Department of War…","https://www.gpsworld.com/anello-photonics-q-ctrl-partner-to-advance-resilient-uav-navigation/"
"СУМІЖНИЙ","Пн. Америка","SandboxAQ","2016 (internal…","AQNav (quantum magnetometer-based ""MagNav""…","AQNav does NOT use a camera/optical sensor matched to a satellite/visual reference map. It…","Best-observed accuracy…","No public commercial pricing disclosed.…","~$950M+ raised since 2022 spinout; $5.75B valuation… | Інв.: Google, NVIDIA, T. Rowe Price, Rizvi Traverse,…","200+ flight-hours and 40+ sorties across multiple geographies on four…","https://www.sandboxaq.com/press/sandboxaq-announces-aqnav---worlds-first-commercial-real-time-navigation-system-powered-by-ai-and-quantum-to-address-gps-jamming"
"СУМІЖНИЙ","Пн. Америка","Near Earth Autonomy","2012 (spun out of…","Firefly (Miniaturized/Compact Autonomy…","Near Earth Autonomy's GPS-denied navigation is built on Simultaneous Localization and Mapping…","n/d (no published…","Not publicly disclosed; business model is…","~$18-20.5M disclosed total (sources disagree: Tracxn… | Інв.: Boeing HorizonX Ventures (Series A lead), Kaman…","~90 employees, Pittsburgh/Homewood HQ. Track record includes the world's first…","https://spinoff.nasa.gov/Spinoff2020/ps_5.html"
