"Блок","№","Питання","Що валідуємо / навіщо","Відповідь (нотатки на зустрічі)"
"D. Тех. вимоги SWaP-C","17","Наскільки критична стійкість до спуфінгу vs просто глушіння?","Профіль загроз",""
"E. Сценарії та платформи","18","Під які місії найперше — strike, ISR, ретрансляція, рій?","Пріоритетний use-case",""
"E. Сценарії та платформи","19","На яких висотах/швидкостях літають платформи?","Робота map-matching",""
"E. Сценарії та платформи","20","Над якою місцевістю (поле, ліс, місто, вода)? Де поточні рішення сліпнуть?","Умови середовища",""
"F. Дані карт і місії","21","Хто готує карти/маршрути перед вильотом і скільки часу?","Операційне тертя",""
"F. Дані карт і місії","22","Звідки супутникові дані, чи є проблема з їх актуальністю?","Джерело/актуальність карт",""
"F. Дані карт і місії","23","Готові завантажувати попередню карту району чи потрібна повна автономність з коробки?","Модель роботи продукту",""
"G. Економіка та закупівля","24","Цільовий ціновий діапазон за модуль, щоб мав сенс у собівартості?","Готовність платити",""
"G. Економіка та закупівля","25","Думаєте як % від вартості дрона? Який % прийнятний?","Цінова прив'язка (бенчмарк TFL ~10–20%)",""
"G. Економіка та закупівля","26","Реалістичні обсяги — десятки, сотні, тисячі на місяць?","Обсяг ринку",""
"G. Економіка та закупівля","27","Як відбувається закупівля (Brave1, MoD, кодифікація НАТО, власні кошти)? Цикл?","Процес і терміни",""
"G. Економіка та закупівля","28","Що важливіше: ціна, швидкість інтеграції чи надійність? Проранжуйте.","Ціннісні пріоритети",""
"H. Кінцевий користувач","29","Що конкретно просять підрозділи-оператори щодо навігації? (цитати)","Голос ринку",""
"H. Кінцевий користувач","30","Які 2–3 характеристики впливають на рішення підрозділу беремо/ні?","Ключові драйвери рішення",""
"H. Кінцевий користувач","31","Хто ще страждає від тієї ж проблеми так само сильно?","Розмір сегмента",""
"I. Масштабування/експорт","32","Що суто українське у вимогах, а що потрібне і арміям НАТО/експорту?","Універсальне vs локальне",""
"I. Масштабування/експорт","33","Які експортні ринки плануєте і чим там відрізняються вимоги?","Гео-масштабування",""
"I. Масштабування/експорт","34","Що заблокує продаж за кордон (сертифікація, компоненти, NATO-ready, бойовий кейс)?","Барʼєри експорту",""
"I. Масштабування/експорт","35","Зовнішній ринок цінує 'battle-proven in Ukraine' чи вимагає локальних тестів?","Позиціонування на експорт",""
"J. Модель партнерства","36","Формат: готовий OEM-модуль, ліцензія на ПЗ під ваше залізо, чи co-dev?","Бізнес-модель співпраці",""
"J. Модель партнерства","37","Який рівень супроводу/SLA потрібен для постановки в серію?","Вимоги до підтримки",""
"J. Модель партнерства","38","Що має статися на пілоті, щоб перейти до серійних закупівель? (метрики успіху)","Критерії успіху пілоту",""
"J. Модель партнерства","39","Готові бути референс-партнером/першим інтегратором для інших країн?","Стратегічне партнерство",""
"K. Конкуренти","40","Якби завтра закривали проблему — до кого пішли б першим і чому?","Реальні альтернативи",""
"K. Конкуренти","41","Що конкуренти роблять добре, а де слабкість, якою скористатись?","Позиціонування",""
"L. Наступні кроки","42","Хто ще з вашого боку має бути в наступній розмові?","Розширення контактів",""
"L. Наступні кроки","43","Чи можемо організувати обмежений польовий тест на одній платформі?","Перехід до дії",""
"L. Наступні кроки","44","Чи познайомите з 1–2 підрозділами-операторами?","Доступ до кінцевих користувачів",""
"","","","",""
"★ Гіпотеза 1 — ЦІНА","","Який % від вартості дрона ринок проковтне за навігацію (бенчмарк TFL ~10–20%)","Валідувати на зустрічі",""
"★ Гіпотеза 2 — ТОЧНІСТЬ","","5–30 м достатньо чи для strike треба <5 м (бар: Saab ~3 м, Theseus/OKSI ~5 м)","Валідувати на зустрічі",""
"★ Гіпотеза 3 — ФОРМАТ","","OEM-модуль vs ліцензія — що дає швидший шлях у серію","Валідувати на зустрічі",""
"★ Гіпотеза 4 — ЕКСПОРТ","","Що робить рішення продаваним поза Україною (сертифікація/NATO-ready)","Валідувати на зустрічі",""
