"Блок","№","Питання","Варіанти / тип відповіді","Що валідуємо / навіщо","Відповідь (нотатки на зустрічі)"
"4. День / ніч","28","Над якою місцевістю літаєте (де рішення сліпнуть)?","поле / ліс / місто / вода / сніг","Умови середовища",""
"4. День / ніч","29","Висоти / швидкості платформ?","Число / текст","Робота map-matching",""
"4. День / ніч","30","Вимоги до поведінки при втраті картинки (хмари, дим, засвітка)?","Відкрите","Graceful degradation",""
"4. День / ніч","31","Наскільки критична стійкість саме до спуфінгу (vs глушіння)?","Шкала 1–5","Профіль загроз",""
"5. Вартість і перехід від конкурентів","32","Що зараз платите за GPS-denied рішення (за модуль / за платформу)?","Число","Поточний бенчмарк ціни",""
"5. Вартість і перехід від конкурентів","33","Цільова ціна ДЕННОЇ конфігурації (без ІЧ)?","Число","Готовність платити (день)",""
"5. Вартість і перехід від конкурентів","34","Цільова ціна НІЧНОЇ конфігурації (з тепловізором/ІЧ)?","Число","Готовність платити (ніч)",""
"5. Вартість і перехід від конкурентів","35","Прийнятний % від вартості дрона за навігацію?","Число (бенч TFL ~10–20%)","Цінова прив'язка",""
"5. Вартість і перехід від конкурентів","36","Проранжуйте, що має дати Flyby, щоб змінили постачальника","Ранжування 1–5: ціна / точність / SWaP / інтеграція / SLA","Тригер переходу від конкурента",""
"5. Вартість і перехід від конкурентів","37","Що нинішній конкурент робить добре, а де слабке місце?","Відкрите","Позиціонування проти конкурента",""
"5. Вартість і перехід від конкурентів","38","За якої різниці в ціні / ТТХ перехід стає no-brainer?","Відкрите","Поріг переходу",""
"5. Вартість і перехід від конкурентів","39","Реалістичні обсяги, якщо ТТХ + ціна підходять?","десятки / сотні / тисячі на місяць","Обсяг ринку",""
"5. Вартість і перехід від конкурентів","40","Як іде закупівля і який цикл?","Brave1 / MoD / кодифікація НАТО / власні кошти","Процес і терміни",""
"6. Пілот і наступні кроки","41","Що має статися на пілоті, щоб перейти до серії? (метрики успіху)","Відкрите","Критерії успіху пілоту",""
"6. Пілот і наступні кроки","42","Готові дати одну платформу під обмежений польовий тест?","так / ні / готові обговорити","Перехід до дії",""
"6. Пілот і наступні кроки","43","Який рівень супроводу / SLA потрібен для постановки в серію?","Відкрите","Вимоги до підтримки",""
"6. Пілот і наступні кроки","44","Хто ще з вашого боку має бути в наступній розмові? Контакти","Відкрите","Розширення контактів",""
"★ Гіпотези (внутрішнє)","H1","ТОЧНІСТЬ: 5–30 м закриває більшість місій, <5 м лише під strike","Підтвердити / спростувати","Валідувати на зустрічі",""
"★ Гіпотези (внутрішнє)","H2","SWaP: існує чіткий габаритно-енергетичний стеля, під яким конкуренти не влазять","Підтвердити / спростувати","Валідувати на зустрічі",""
"★ Гіпотези (внутрішнє)","H3","ІНТЕГРАЦІЯ: головний біль не залізо, а fusion + тижні інженерів","Підтвердити / спростувати","Валідувати на зустрічі",""
"★ Гіпотези (внутрішнє)","H4","ЦІНА-ТРИГЕР: перехід при X% дешевше АБО кращій точності/ночі","Значення X","Валідувати на зустрічі",""
"★ Гіпотези (внутрішнє)","H5","ДЕНЬ/НІЧ: нічна (ІЧ) конфігурація має окрему цінову й попитну динаміку","Підтвердити / спростувати","Валідувати на зустрічі",""
